N,IP,wOBA_deom,SO,BB_HBP,HR,Single,XBase,H,wOBA_sum,IP_Out,SO_Rate,BB_HBP_Rate,HR_Rate,Single_Rate,XBase_Rate,IP_H_Rate,IP_O_Rate,wOBA,count,strikes,balls,N.Pitches,Type,type
181818,121705,180287,42145,17906,5944,25006,14478,39484,56695.691999999995,82221,23.17977317977318,9.848309848309848,3.269203269203269,13.753313753313753,7.962907962907963,32.44238116757734,67.55761883242266,0.31447465430119753,0-0,0,0,0,Neutral,passing through
90516,56394,90231,28575,5516,2494,11692,6302,17994,24400.82,38400,31.569004374917142,6.093950240841398,2.7553139776393123,12.917053338636263,6.9623050068496175,31.9076497499734,68.0923502500266,0.270426128492425,0-1,1,0,1,Pitcher,passing through
38821,18671,38762,18547,1594,740,3921,1983,5904,7768.12,12767,47.775688416063474,4.106025089513408,1.9061847968882821,10.100203498106694,5.108060070580356,31.62123078571046,68.37876921428953,0.200405551829111,0-2,2,0,2,Pitcher,passing through
71374,45853,70483,13570,11931,2451,9263,5751,15014,25463.939999999995,30839,19.012525569535125,16.71617115476224,3.434023594025836,12.978115280073977,8.057555972763192,32.743768128584826,67.25623187141518,0.36127775491962594,1-0,0,1,1,Batter,passing through
71291,43646,71084,20132,7483,2144,9067,5187,14254,21681.61,29392,28.239188677392658,10.4964160974036,3.0073922374493276,12.718295437011685,7.275813216254506,32.658204646473905,67.3417953535261,0.3050139271847392,1-1,1,1,2,Neutral,passing through
53651,26177,53585,23778,3674,1127,5478,2915,8393,12112.730000000001,17784,44.319770367747104,6.8479618273657525,2.100613222493523,10.210434101880674,5.4332631265027675,32.06249761240784,67.93750238759216,0.22604702808621818,1-2,2,1,3,Pitcher,passing through
24956,13541,24260,3466,7949,837,2641,1848,4489,10454.15,9052,13.888443660843084,31.852059624939894,3.353902869049527,10.582625420740504,7.405032857829781,33.15117051916402,66.84882948083597,0.4309212695795548,2-0,0,2,2,Batter,passing through
37235,21148,37142,8493,7583,1176,4209,2709,6918,13423.08,14230,22.809184906673828,20.365247750772124,3.158318786088358,11.303880757351953,7.275412917953538,32.71231322110838,67.28768677889163,0.3613989553605083,2-1,1,2,3,Neutral,passing through
43980,21177,43947,16932,5858,1026,4362,2512,6874,12015.820000000002,14303,38.49931787175989,13.319690768531151,2.3328785811732606,9.918144611186904,5.71168713051387,32.459744061954005,67.54025593804599,0.27341616037499716,2-2,2,2,4,Pitcher,passing through
8378,2403,7710,655,5320,149,469,329,798,4176.2,1605,7.818095010742421,63.49964191931249,1.7784674146574362,5.597994748149916,3.9269515397469563,33.20848938826467,66.79151061173533,0.5416601815823605,3-0,0,3,3,Batter,passing through
15732,6474,15690,2171,7085,433,1233,943,2176,7536.71,4298,13.799898296465802,45.03559623696923,2.7523518942283243,7.837528604118993,5.994152046783626,33.61136855112759,66.38863144887242,0.48035117909496494,3-1,1,3,4,Batter,passing through
25342,10151,25333,7008,8177,584,2017,1370,3387,9689.75,6764,27.65369741930392,32.266593007655274,2.3044747849419935,7.959119248678084,5.406045300292005,33.36617082060881,66.6338291793912,0.38249516441005804,3-2,2,3,5,Neutral,passing through
19928,19458,19573,0,459,999,4051,2425,6476,7700.586000000001,12982,0,2.3032918506623847,5.01304696908872,20.328181453231633,12.168807707747892,33.28194058998869,66.7180594100113,0.39342900934961433,0-0,0,0,0,Neutral,final
15824,15539,15690,0,276,633,3176,1662,4838,5558.3330000000005,10701,0,1.744186046511628,4.000252780586451,20.070778564206268,10.503033367037412,31.13456464379947,68.86543535620052,0.354259592096877,0-1,1,0,1,Pitcher,final
