Team,O-Swing,Z-Swing,Swing,O-Contact,Z-Contact,Contact,Zone,F-Strike,SwStr,CStr,CSW
OAK,0.3183,0.6822,0.4746,0.559,0.8421,0.7338,0.4296,0.6302,0.1262,0.1663,0.2924
NYY,0.3019,0.6666,0.4566,0.6013,0.8445,0.7518,0.4241,0.6076,0.1131,0.1762,0.2894
MIN,0.3139,0.685,0.4667,0.5907,0.8395,0.7411,0.4118,0.6189,0.1207,0.1653,0.286
CIN,0.2937,0.6592,0.4493,0.6131,0.8491,0.7605,0.4258,0.6136,0.1074,0.178,0.2855
COL,0.3522,0.7081,0.5003,0.58,0.8362,0.7309,0.4162,0.622,0.1345,0.1507,0.2851
MIL,0.3013,0.6596,0.4521,0.636,0.8449,0.7643,0.4209,0.6088,0.1064,0.1777,0.2841
SEA,0.3251,0.6927,0.4795,0.5787,0.8388,0.7366,0.42,0.6047,0.1261,0.1572,0.2832
SFG,0.3042,0.694,0.4665,0.5993,0.8475,0.7531,0.4165,0.6212,0.115,0.1672,0.2823
PIT,0.2903,0.6819,0.4545,0.5911,0.8524,0.7555,0.4193,0.6113,0.1109,0.1706,0.2815
CHW,0.3643,0.6973,0.5024,0.6036,0.8503,0.7456,0.4148,0.6391,0.1276,0.153,0.2807
PHI,0.3409,0.6877,0.4842,0.606,0.8481,0.7481,0.4132,0.6151,0.1218,0.158,0.2798
KCR,0.338,0.7102,0.4944,0.6096,0.8496,0.7545,0.4202,0.6269,0.1212,0.1576,0.2788
DET,0.3232,0.6972,0.4806,0.6124,0.8523,0.7589,0.4208,0.6166,0.1156,0.1627,0.2784
TBR,0.3422,0.7064,0.4908,0.6111,0.8398,0.7454,0.408,0.6261,0.1247,0.1534,0.2782
NYM,0.3023,0.673,0.4588,0.6394,0.8584,0.775,0.4223,0.6161,0.103,0.1749,0.2779
BOS,0.3209,0.6678,0.4686,0.6484,0.8583,0.7758,0.4258,0.6092,0.1049,0.1717,0.2766
MIA,0.3299,0.6787,0.4754,0.6489,0.8614,0.7755,0.4172,0.6138,0.1065,0.17,0.2765
LAA,0.3352,0.7209,0.496,0.582,0.8307,0.7326,0.4168,0.6158,0.1324,0.1439,0.2763
BAL,0.3295,0.687,0.4775,0.636,0.8638,0.7717,0.414,0.6213,0.1089,0.1673,0.2762
SDP,0.2876,0.6511,0.4422,0.6474,0.8673,0.7851,0.4253,0.5994,0.0948,0.1811,0.2759
CHC,0.3051,0.6765,0.4634,0.6561,0.8463,0.7745,0.4263,0.609,0.1044,0.171,0.2754
STL,0.3123,0.6742,0.463,0.6404,0.8614,0.7744,0.4165,0.6082,0.1043,0.1706,0.2749
ARI,0.2957,0.6645,0.4523,0.6424,0.8838,0.793,0.4247,0.6019,0.0934,0.1779,0.2714
LAD,0.2936,0.7021,0.4646,0.6203,0.8569,0.77,0.4184,0.6081,0.1066,0.1616,0.2682
HOU,0.3308,0.691,0.4785,0.6455,0.8755,0.7817,0.41,0.6242,0.1043,0.1581,0.2624
TOR,0.299,0.71,0.4746,0.6494,0.8615,0.785,0.4272,0.6146,0.1019,0.1604,0.2623
TEX,0.2939,0.7117,0.4692,0.6264,0.8655,0.7786,0.4196,0.5996,0.1037,0.1573,0.261
WSN,0.3401,0.6869,0.4848,0.6843,0.8845,0.8026,0.4172,0.621,0.0955,0.1645,0.26
ATL,0.3345,0.727,0.497,0.6541,0.84,0.7667,0.4141,0.6063,0.1157,0.1402,0.256
CLE,0.3511,0.6919,0.4943,0.686,0.8794,0.7997,0.4202,0.6163,0.0988,0.1563,0.2552
