Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
2022,Aaron Judge,NYY,157,696,62,133,131,16,15.9,25.1,0.375,0.340,0.311,0.425,0.686,0.458,207,2.1,86.1,0.5,11.4,15640
2022,Manny Machado,SDP,150,644,32,100,102,9,9.8,20.7,0.234,0.337,0.298,0.366,0.531,0.382,152,3.0,41.9,6.9,7.4,11493
2022,Nolan Arenado,STL,148,620,30,73,103,5,8.4,11.6,0.241,0.290,0.293,0.358,0.533,0.381,151,-1.6,35.3,13.5,7.3,9777
2021,Fernando Tatis Jr.,SDP,130,546,42,99,97,25,11.4,28.0,0.328,0.324,0.282,0.364,0.611,0.403,157,9.3,48.8,5.5,7.3,19709
2022,Paul Goldschmidt,STL,151,651,35,106,115,7,12.1,21.7,0.260,0.368,0.317,0.404,0.578,0.419,177,3.0,61.6,-15.8,7.1,9218
2022,Freddie Freeman,LAD,159,708,21,117,100,13,11.9,14.4,0.186,0.359,0.325,0.407,0.511,0.393,157,5.4,52.6,-8.8,7.1,5361
2021,Juan Soto,WSN,151,654,29,111,95,9,22.2,14.2,0.221,0.332,0.313,0.465,0.534,0.420,163,-3.3,49.2,-1.1,7.0,20123
2022,Francisco Lindor,NYM,161,706,26,98,107,16,8.4,18.8,0.179,0.301,0.270,0.339,0.449,0.342,127,3.3,25.4,15.9,6.8,12916
2021,Trea Turner,- - -,148,646,28,107,77,32,6.3,17.0,0.208,0.362,0.328,0.375,0.536,0.386,142,5.0,39.6,6.5,6.8,16252
2022,Yordan Alvarez,HOU,135,561,37,95,97,1,13.9,18.9,0.306,0.320,0.306,0.406,0.613,0.427,185,-0.6,52.8,-7.5,6.6,19556
2022,Mookie Betts,LAD,142,639,35,117,82,12,8.6,16.3,0.264,0.272,0.269,0.340,0.533,0.373,144,4.3,37.2,4.1,6.6,13611
2022,Jose Altuve,HOU,141,604,28,103,57,18,10.9,14.4,0.233,0.315,0.300,0.387,0.533,0.397,164,-1.5,41.8,1.6,6.6,5417
2021,Bryce Harper,PHI,141,599,35,101,84,13,16.7,22.4,0.305,0.359,0.309,0.429,0.615,0.431,170,-2.5,50.9,-5.5,6.6,11579
2022,J.T. Realmuto,PHI,139,562,22,75,84,21,7.3,21.2,0.202,0.318,0.276,0.342,0.478,0.354,128,6.6,24.9,18.0,6.5,11739
