Year,Name,playerType,...3,Voted By,Type,Votes,% of Ballots,playerid,debut,finalGame,MidSeason
2022,Gil Hodges,Batter,1924-1972,Golden Days Era,Player,NA,NA,hodgegi01,1943-10-03,1963-05-05,1953
2022,Jim Kaat,Pitcher,1938-Living,Golden Days Era,Player,NA,NA,kaatji01,1959-08-02,1983-07-01,1971
2022,Minnie Minoso,Batter,1923-2015,Golden Days Era,Player,NA,NA,minosmi01,1949-04-19,1980-10-05,1964.5
2022,Tony Oliva,Batter,1938-Living,Golden Days Era,Player,NA,NA,olivato01,1962-09-09,1976-09-29,1969
2022,David Ortiz,Batter,1975-Living,BBWAA,Player,307,77.9%,ortizda01,1997-09-02,2016-10-02,2006.5
2020,Derek Jeter,Batter,1974-Living,BBWAA,Player,396,99.7%,jeterde01,1995-05-29,2014-09-28,2004.5
2020,Ted Simmons,Batter,1949-Living,Veterans,Player,NA,NA,simmote01,1968-09-21,1988-10-02,1978
2020,Larry Walker,Batter,1966-Living,BBWAA,Player,304,76.6%,walkela01,1989-08-16,2005-10-02,1997
2019,Harold Baines,Batter,1959-Living,Today's Game Era,Player,NA,NA,baineha01,1980-04-10,2001-09-27,1990.5
2019,Roy Halladay,Pitcher,1977-2017,BBWAA,Player,363,85.4%,hallaro01,1998-09-20,2013-09-23,2005.5
2019,Edgar Martinez,Batter,1963-Living,BBWAA,Player,363,85.4%,martied01,1987-09-12,2004-10-03,1995.5
2019,Mike Mussina,Pitcher,1968-Living,BBWAA,Player,326,76.7%,mussimi01,1991-08-04,2008-09-28,1999.5
2019,Mariano Rivera,Pitcher,1969-Living,BBWAA,Player,425,100.0%,riverma01,1995-05-23,2013-09-26,2004
2019,Lee Smith,Pitcher,1957-Living,Today's Game Era,Player,NA,NA,smithle02,1980-09-01,1997-07-02,1988.5
2018,Vladimir Guerrero,Batter,1975-Living,BBWAA,Player,392,92.9%,guerrvl01,1996-09-19,2011-09-28,2003.5
2018,Trevor Hoffman,Pitcher,1967-Living,BBWAA,Player,337,79.9%,hoffmtr01,1993-04-06,2010-09-29,2001.5
2018,Chipper Jones,Batter,1972-Living,BBWAA,Player,410,97.2%,jonesch06,1993-09-11,2012-10-03,2002.5
2018,Jack Morris,Pitcher,1955-Living,Modern Baseball Era,Player,NA,NA,morrija02,1977-07-26,1994-08-07,1985.5
2018,Jim Thome,Batter,1970-Living,BBWAA,Player,379,89.8%,thomeji01,1991-09-04,2012-10-03,2001.5
2018,Alan Trammell,Batter,1958-Living,Modern Baseball Era,Player,NA,NA,trammal01,1977-09-09,1996-09-29,1986.5
2017,Jeff Bagwell,Batter,1968-Living,BBWAA,Player,381,86.2%,bagweje01,1991-04-08,2005-10-02,1998
2017,Tim Raines,Batter,1959-Living,BBWAA,Player,380,86.0%,raineti01,1979-09-11,2002-09-29,1990.5
2017,Ivan Rodriguez,Batter,1971-Living,BBWAA,Player,336,76.0%,rodriiv01,1991-06-20,2011-09-28,2001
2016,Ken Griffey Jr.,Batter,1969-Living,BBWAA,Player,437,99.3%,griffke02,1989-04-03,2010-05-31,1999.5
2016,Mike Piazza,Batter,1968-Living,BBWAA,Player,365,83.0%,piazzmi01,1992-09-01,2007-09-30,1999.5
2015,Craig Biggio,Batter,1965-Living,BBWAA,Player,454,82.7%,biggicr01,1988-06-26,2007-09-30,1997.5
2015,Randy Johnson,Pitcher,1963-Living,BBWAA,Player,534,97.3%,johnsra05,1988-09-15,2009-10-04,1998.5
2015,Pedro Martinez,Pitcher,1971-Living,BBWAA,Player,500,91.1%,martipe02,1992-09-24,2009-09-30,2000.5
2015,John Smoltz,Pitcher,1967-Living,BBWAA,Player,455,82.9%,smoltjo01,1988-07-23,2009-09-30,1998.5
2014,Tom Glavine,Pitcher,1966-Living,BBWAA,Player,525,91.9%,glavito02,1987-08-17,2008-08-14,1997.5
2014,Greg Maddux,Pitcher,1966-Living,BBWAA,Player,555,97.2%,maddugr01,1986-09-03,2008-09-27,1997
2014,Frank Thomas,Batter,1968-Living,BBWAA,Player,478,83.7%,thomafr04,1990-08-02,2008-08-29,1999
2013,Deacon White,Batter,1847-1939,Pre-Integration Era,Player,NA,NA,whitede01,1871-05-04,1890-10-04,1880.5
2012,Barry Larkin,Batter,1964-Living,BBWAA,Player,495,86.4%,larkiba01,1986-08-13,2004-10-03,1995
2012,Ron Santo,Batter,1940-2010,Golden Era,Player,NA,NA,santoro01,1960-06-26,1974-09-29,1967
2011,Roberto Alomar,Batter,1968-Living,BBWAA,Player,523,90.0%,alomaro01,1988-04-22,2004-09-05,1996
2011,Bert Blyleven,Pitcher,1951-Living,BBWAA,Player,463,79.7%,blylebe01,1970-06-05,1992-10-04,1981
2010,Andre Dawson,Batter,1954-Living,BBWAA,Player,420,77.9%,dawsoan01,1976-09-11,1996-09-29,1986
2009,Joe Gordon,Batter,1915-1978,Veterans,Player,NA,NA,gordojo01,1938-04-18,1950-09-30,1944
2009,Rickey Henderson,Batter,1958-Living,BBWAA,Player,511,94.8%,henderi01,1979-06-24,2003-09-19,1991
2009,Jim Rice,Batter,1953-Living,BBWAA,Player,412,76.4%,riceji01,1974-08-19,1989-08-03,1981.5
2008,Rich Gossage,Pitcher,1951-Living,BBWAA,Player,466,85.8%,gossari01,1972-04-16,1994-08-08,1983
2007,Tony Gwynn,Batter,1960-2014,BBWAA,Player,532,97.6%,gwynnto01,1982-07-19,2001-10-07,1991.5
2007,Cal Ripken Jr.,Batter,1960-Living,BBWAA,Player,537,98.5%,ripkeca01,1981-08-10,2001-10-06,1991
2006,Ray Brown,Pitcher,1908-1965,Negro League,Player,NA,NA,brownra99,NA,NA,NA
2006,Willard Brown,,1915-1996,Negro League,Player,NA,NA,brownwi02,1947-07-19,1947-08-17,1947
2006,Andy Cooper,,1897-1941,Negro League,Player,NA,NA,coopean99,NA,NA,NA
2006,Pete Hill,,1882-1951,Negro League,Player,NA,NA,hillpe99,NA,NA,NA
2006,Biz Mackey,,1897-1965,Negro League,Player,NA,NA,mackebi99,NA,NA,NA
2006,José Méndez,,1885-1928,Negro League,Player,NA,NA,mendejo99,NA,NA,NA
2006,Louis Santop,,1889-1942,Negro League,Player,NA,NA,santolo99,NA,NA,NA
2006,Bruce Sutter,Pitcher,1953-2022,BBWAA,Player,400,76.9%,suttebr01,1976-05-09,1988-09-09,1982
2006,Mule Suttles,,1901-1966,Negro League,Player,NA,NA,suttlmu99,NA,NA,NA
2006,Ben Taylor,,1888-1953,Negro League,Player,NA,NA,taylobe99,NA,NA,NA
2006,Cristóbal Torriente,,1893-1938,Negro League,Player,NA,NA,torricr99,NA,NA,NA
2006,Jud Wilson,,1896-1963,Negro League,Player,NA,NA,wilsoju99,NA,NA,NA
2005,Wade Boggs,Batter,1958-Living,BBWAA,Player,474,91.9%,boggswa01,1982-04-10,1999-08-27,1990.5
2005,Ryne Sandberg,Batter,1959-Living,BBWAA,Player,393,76.2%,sandbry01,1981-09-02,1997-09-28,1989
