key_mlbam,Name
547989,José Abreu
660670,Ronald Acuña
642715,Willy Adames
542583,Jesús Aguilar
605113,Nick Ahmed
645277,Ozzie Albies
624413,Pete Alonso
514888,José Altuve
605119,Brian Anderson
641313,Tim Anderson
462101,Elvis Andrus
571448,Nolan Arenado
650333,Luis Arráez
605137,Josh Bell
641355,Cody Bellinger
643217,Andrew Benintendi
605141,Mookie Betts
666182,Bo Bichette
453568,Charlie Blackmon
593428,Xander Bogaerts
488726,Michael Brantley
608324,Alex Bregman
592178,Kris Bryant
595879,Javier Báez
408234,Miguel Cabrera
600869,Jeimer Candelario
592192,Mark Canha
592206,Nick Castellanos
656305,Matt Chapman
624424,Michael Conforto
575929,Willson Contreras
621043,Carlos Correa
543063,Brandon Crawford
641487,J. P. Crawford
543068,C. J. Cron
443558,Nelson Cruz
657557,Paul DeJong
646240,Rafael Devers
650490,Yandy Díaz
669242,Tommy Edman
500871,Eduardo Escobar
664058,David Fletcher
527038,Wilmer Flores
664034,Ty France
596748,Maikel Franco
624428,Adam Frazier
518692,Freddie Freeman
502671,Paul Goldschmidt
518735,Yasmani Grandal
545341,Randal Grichuk
543257,Robbie Grossman
665489,Vladimir Guerrero
493329,Yuli Gurriel
666971,Lourdes Gurriel
664023,Ian Happ
547180,Bryce Harper
514917,César Hernández
571771,Enrique Hernández
606192,Teoscar Hernández
518792,Jason Heyward
656555,Rhys Hoskins
543333,Eric Hosmer
578428,Jose Iglesias
592450,Aaron Judge
643393,Tony Kemp
596146,Max Kepler
643396,Isiah Kiner-Falefa
518934,DJ LeMahieu
596019,Francisco Lindor
592518,Manny Machado
641820,Trey Mancini
622534,Manuel Margot
516782,Starling Marte
606466,Ketel Marte
502110,J. D. Martinez
457705,Andrew McCutchen
641857,Ryan McMahon
643446,Jeff McNeil
593160,Whit Merrifield
660162,Yoán Moncada
519058,Mike Moustakas
656775,Cedric Mullins
571970,Max Muncy
621028,Kevin Newman
607043,Brandon Nimmo
660271,Shohei Ohtani
621566,Matt Olson
542303,Marcell Ozuna
592626,Joc Pederson
444482,David Peralta
502054,Tommy Pham
607680,Kevin Pillar
593871,Jorge Polanco
572041,AJ Pollock
595777,Jurickson Profar
521692,Salvador Pérez
608070,José Ramírez
592663,J. T. Realmuto
543685,Anthony Rendon
592669,Hunter Renfroe
668804,Bryan Reynolds
663586,Austin Riley
519203,Anthony Rizzo
500743,Miguel Rojas
642708,Amed Rosario
592696,Eddie Rosario
467793,Carlos Santana
623993,Anthony Santander
570731,Jonathan Schoop
656941,Kyle Schwarber
608369,Corey Seager
516416,Jean Segura
543760,Marcus Semien
624585,Jorge Soler
665742,Juan Soto
543807,George Springer
596115,Trevor Story
553993,Eugenio Suárez
621020,Dansby Swanson
621035,Chris Taylor
650402,Gleyber Torres
663656,Kyle Tucker
607208,Trea Turner
457759,Justin Turner
657077,Alex Verdugo
458015,Joey Votto
543877,Christian Vázquez
572233,Christian Walker
621563,Joey Wendle
543939,Kolten Wong
592885,Christian Yelich
