LA,LS,HR,Predicted,Z,Model_Season,Predict_Season
"(15,20]","(90,95]",0,0.6959329892568704,-0.834225982127667,2015,2016
"(15,20]","(95,100]",1,4.317340209930841,-1.5965476192540125,2015,2016
"(15,20]","(100,105]",33,47.400448321289744,-2.0916296438977833,2015,2016
"(15,20]","(105,110]",120,158.31232428814263,-3.0449568140330303,2015,2016
"(15,20]","(110,115]",60,74.95240905521054,-1.7271035288243013,2015,2016
"(20,25]","(90,95]",8,12.168757859783486,-1.195043035931454,2015,2016
"(20,25]","(95,100]",104,121.70245294386599,-1.6046627929401063,2015,2016
"(20,25]","(100,105]",611,623.8467530355663,-0.5143448738580513,2015,2016
"(20,25]","(105,110]",607,624.2245550899619,-0.6894100159278426,2015,2016
"(20,25]","(110,115]",139,135.0033636802737,0.34397140163064577,2015,2016
"(25,30]","(90,95]",65,49.43315702176971,2.2140701206440867,2015,2016
"(25,30]","(95,100]",384,383.1140785905474,0.04526172913415432,2015,2016
"(25,30]","(100,105]",957,961.1548845478837,-0.13401773440628825,2015,2016
"(25,30]","(105,110]",549,532.5657914836729,0.7121347189338475,2015,2016
"(25,30]","(110,115]",69,70.2728066641535,-0.15183391516348632,2015,2016
"(30,35]","(90,95]",81,57.68913610840147,3.069102202445056,2015,2016
"(30,35]","(95,100]",348,303.34119979412225,2.5641377417122646,2015,2016
"(30,35]","(100,105]",574,555.0532318841906,0.8042069501661603,2015,2016
"(30,35]","(105,110]",272,268.6373249544287,0.20516426745927077,2015,2016
"(30,35]","(110,115]",32,31.04110890848623,0.17210784633315918,2015,2016
"(35,40]","(90,95]",37,24.96318316161529,2.409137958122771,2015,2016
"(35,40]","(95,100]",122,116.00858414722818,0.556268414566322,2015,2016
"(35,40]","(100,105]",203,212.87840439457204,-0.6770503981657939,2015,2016
"(35,40]","(105,110]",102,98.77396450542452,0.3245995389919242,2015,2016
"(35,40]","(110,115]",3,3.781627129680837,-0.4019391155399522,2015,2016
"(40,45]","(90,95]",6,4.664711912118542,0.6182477735054249,2015,2016
"(40,45]","(95,100]",20,20.327536753247415,-0.07264699626370355,2015,2016
"(40,45]","(100,105]",49,37.31982156378799,1.9119639445471164,2015,2016
"(40,45]","(105,110]",18,15.862205182454868,0.5367650599956525,2015,2016
"(15,20]","(90,95]",2,0.7043503490080213,1.543807744819211,2015,2017
"(15,20]","(95,100]",4,4.780031796815023,-0.35677705279880456,2015,2017
"(15,20]","(100,105]",42,45.27168684812715,-0.4862486289224383,2015,2017
"(15,20]","(105,110]",164,156.14937026777767,0.6282527180501336,2015,2017
"(15,20]","(110,115]",69,77.75902805023547,-0.9933001599450058,2015,2017
"(20,25]","(90,95]",8,12.188943954956528,-1.1998349539338777,2015,2017
"(20,25]","(95,100]",130,125.1474712198557,0.43376757109899805,2015,2017
"(20,25]","(100,105]",679,629.2277684249514,1.9841896183509176,2015,2017
"(20,25]","(105,110]",613,583.8020513419176,1.2084245292537326,2015,2017
"(20,25]","(110,115]",112,107.73541729435185,0.41086324537413,2015,2017
"(25,30]","(90,95]",87,48.254129055779806,5.577738980438918,2015,2017
"(25,30]","(95,100]",465,384.1651988186011,4.12419664388946,2015,2017
"(25,30]","(100,105]",974,890.8191327043494,2.786946785140114,2015,2017
"(25,30]","(105,110]",515,495.75667834003815,0.8642626654335261,2015,2017
"(25,30]","(110,115]",80,78.1627464581325,0.2078113136738637,2015,2017
"(30,35]","(90,95]",89,58.50980238341138,3.9860792001784877,2015,2017
"(30,35]","(95,100]",371,327.5855895006157,2.3986755807778244,2015,2017
"(30,35]","(100,105]",701,616.0184644995348,3.423952325398923,2015,2017
"(30,35]","(105,110]",257,252.1531555203799,0.3052297641172425,2015,2017
"(30,35]","(110,115]",36,35.123576395678725,0.14788179053863165,2015,2017
"(35,40]","(90,95]",33,26.581939163171636,1.244831299794981,2015,2017
"(35,40]","(95,100]",154,109.24270084822001,4.282206999651756,2015,2017
"(35,40]","(100,105]",228,213.24885123625427,1.0101421487932982,2015,2017
"(35,40]","(105,110]",94,90.49600708274566,0.36833968378220094,2015,2017
"(35,40]","(110,115]",9,11.098868346293065,-0.6300076861669639,2015,2017
"(40,45]","(90,95]",5,4.480279098680186,0.24553739749899767,2015,2017
"(40,45]","(95,100]",32,18.877210244662994,3.0203499466151147,2015,2017
"(40,45]","(100,105]",43,35.779187812389715,1.207176605049074,2015,2017
"(40,45]","(105,110]",12,15.768155151468184,-0.9489390833642861,2015,2017
