pitcher,batter,plate_x,plate_z,events,estimated_woba_using_speedangle
506433,572233,-0.21,2.26,field_out,0.003
608331,571657,1.03,2.68,single,0.625
425844,614177,0.55,1.94,single,0.617
641816,621566,0.49,2.52,field_out,0.704
664285,622110,0.41,1.92,single,0.095
669203,575929,-0.6,2.52,field_out,0.032
543294,592669,-0.78,2.12,field_out,0.247
608331,519058,-0.16,3.2,single,0.279
425844,608070,-1.02,2.5,field_out,0.225
641816,592696,0.04,3,field_out,0.448
425794,660636,0.88,2.61,field_out,0.376
506433,662139,-0.02,2.05,field_out,0.115
664285,543685,0.84,1.53,grounded_into_double_play,0.123
543294,642133,-0.71,1.43,single,0.865
425844,642708,0.34,2.77,single,0.907
425794,668804,0.36,2.2,field_out,0.22
669203,542364,0.77,1.65,field_out,0.01
608331,669222,0.72,2.12,field_out,0.198
425794,596129,0.61,2.5,field_out,0.031
543294,457705,-0.47,2.02,field_out,0.724
660271,455117,0.17,1.83,field_out,0.333
506433,672695,-0.75,1.75,field_out,0.06
425844,664702,0.09,1.45,field_out,0.013
641816,543105,-0.45,2.3,field_out,0.723
425794,660829,-0.52,1.98,single,0.075
669203,663538,0.2,2.18,home_run,0.935
660271,676801,-0.2,2.06,double,0.93
608331,663886,0.35,3.01,field_out,0.986
669456,670032,-0.29,2.48,double,0.768
608331,458015,0.42,3.14,field_out,0
664285,545361,0.94,2.57,field_error,0.131
571578,643446,-0.33,2.83,single,0.383
425844,665926,-1.1,1.56,field_out,0.183
669456,572191,-0.41,2.21,field_out,0.005
543294,642715,-0.93,2.22,grounded_into_double_play,0.283
506433,656403,-0.16,1.44,field_out,0.013
608331,502054,-0.77,2.33,field_out,0.228
669203,621550,0.38,2.45,sac_fly,0.018
543294,543939,-0.59,1.38,single,0.448
669203,518792,-0.72,1.63,single,0.817
425794,547379,0.57,1.94,field_out,0.048
664141,664056,0.44,1.85,force_out,0.1
664285,660271,-0.01,2.54,field_out,0.008
425844,595978,0.31,1.21,force_out,0.185
425794,592325,-0.14,2.8,field_out,1.255
543294,607054,-0.5,1.99,field_out,0.471
543294,456715,-1.01,3.28,field_out,0.089
669203,673548,0.37,1.92,single,0.606
664285,664058,-0.65,1.62,field_out,0.283
664141,425877,0.54,1.54,field_out,0.175
664141,657557,0.4,2.04,field_out,0.032
608331,663697,0.88,2.03,field_out,0.091
571578,429664,-0.08,2.78,single,0.126
669203,643524,1.01,1.7,field_out,0.049
571578,500871,0.35,1.37,double,0.642
669456,641531,-0.11,2.8,double,0.976
425794,657061,-0.27,2.75,field_out,0.209
656731,596748,0.25,3.69,field_out,0
506433,666179,-0.4,2.65,field_out,0
608331,592273,-0.64,3.65,single,0.198
425794,621028,0.81,2.31,grounded_into_double_play,0.332
506433,608348,0.46,1.24,force_out,0.144
669456,467793,0,2.93,field_out,0.015
425794,660294,-0.04,2.76,single,0.198
425844,644374,0.07,2.21,field_out,1.819
669456,521692,0.85,1.71,field_out,1.54
608331,571657,-0.22,2.86,field_out,0.116
543294,592669,0.65,2.03,single,0.376
664141,405395,0.75,3.12,field_error,0.257
641816,645277,-0.88,1.46,single,0.186
660271,670541,-0.57,3.01,field_out,0.359
664285,545358,0.34,2.42,field_out,0.087
656731,660688,-0.42,2.84,field_out,1.605
669203,664023,-0.27,1.23,field_out,0.188
664141,571448,0.06,3.45,field_out,0.748
425844,656252,-0.03,1.89,field_out,0.1
571578,624413,0.92,2.57,single,0.838
669456,643217,-0.37,2.2,field_out,0.228
425794,668804,0.05,1.72,single,0.37
660271,608324,-0.45,2.97,single,0.85
664141,641933,-0.86,2.71,home_run,1.819
656731,605137,-0.68,2.97,field_out,0.152
506433,572233,0.14,1.72,field_out,0.005
641816,542303,0.34,1.41,field_out,0.553
608331,669222,0.16,2.08,grounded_into_double_play,0.46
425844,608070,-1.03,1.71,double,0.897
506433,444482,-0.69,2.27,field_out,0.023
543294,457705,-0.12,3.11,single,0.879
656731,443558,0.69,2.27,force_out,0.255
608331,663886,0.63,2.63,sac_fly,0.555
663474,521692,0.34,2.73,field_out,0.013
571578,605204,-0.08,2.24,field_out,0.616
543294,592885,-0.17,2.89,field_out,0.432
669456,677951,0.98,0.78,field_out,0.068
660271,488726,0.29,1.84,double,1.251
506433,606466,-0.02,2.6,field_out,0.237
608331,458015,-0.29,2.4,single,0.824
641816,663586,-0.42,2.77,single,0.234
425794,660829,0.57,2.87,force_out,0.135
518516,543592,1.07,2.03,field_out,0.071
669456,593160,1.3,2.6,single,0.895
663474,643217,0.07,2.46,single,0.372
571578,516782,0.78,1.88,field_out,0.067
506433,662139,-0.45,3.45,field_out,0.798
425844,642708,0.1,2.15,field_out,0.698
664285,622110,0.65,2.09,field_out,0.094
571578,543510,-0.78,2.6,field_out,0.222
640444,425877,-0.5,2.86,grounded_into_double_play,0.115
