game_date,game_pk,batter,player,pitcher,count,c_type,estimated_woba_using_speedangle,root_woba
2023-03-30,718770,444482,1,668678,2-1,neutral,0.216,0.46475800154489
2023-03-30,718770,444482,1,668678,1-0,neutral,0.364,0.6033241251599343
2023-03-30,718770,444482,1,669459,0-1,behind,0.787,0.887130204648675
2023-03-30,718770,444482,1,642121,0-0,neutral,0.832,0.9121403400793103
2023-04-08,718656,444482,1,666818,1-0,neutral,0.093,0.30495901363953815
2023-04-09,718639,444482,1,669194,0-0,neutral,0.075,0.27386127875258304
2023-04-09,718639,444482,1,656981,2-1,neutral,0.131,0.3619392214170772
2023-04-10,718641,444482,1,657277,2-1,neutral,0.132,0.363318042491699
2023-04-11,718624,444482,1,643511,0-2,behind,0.041,0.2024845673131659
2023-04-12,718612,444482,1,502171,3-2,neutral,0.578,0.7602631123499285
2023-04-12,718612,444482,1,502171,2-1,neutral,0.544,0.737563556583431
2023-04-15,718564,444482,1,605242,0-0,neutral,0.388,0.6228964600958975
2023-04-17,718532,444482,1,493603,2-2,behind,0.718,0.8473488065725944
2023-03-31,718765,444482,1,686753,0-0,neutral,0.388,0.6228964600958975
2023-03-31,718765,444482,1,518876,0-2,behind,0.882,0.9391485505499116
2023-03-31,718765,444482,1,686753,1-0,neutral,0.451,0.6715653356152326
2023-04-18,718516,444482,1,656731,2-1,neutral,0.037,0.19235384061671346
2023-04-18,718516,444482,1,656731,0-1,behind,0.008,0.08944271909999159
2023-04-19,718508,444482,1,453286,0-1,behind,0.587,0.7661592523751182
2023-04-19,718508,444482,1,642231,1-0,neutral,0.299,0.5468089245796927
2023-04-19,718508,444482,1,493603,3-2,neutral,1.493,1.2218837915284744
2023-04-19,718508,444482,1,622098,2-1,neutral,0.288,0.5366563145999496
2023-04-20,718499,444482,1,640470,1-2,behind,0.113,0.3361547262794322
2023-04-20,718499,444482,1,605242,1-1,neutral,0.782,0.8843076387773657
2023-04-21,718491,444482,1,592767,0-1,behind,0.219,0.4679743582719036
2023-04-22,718479,444482,1,669713,1-2,behind,0.109,0.3301514803843836
2023-04-23,718451,444482,1,573186,3-2,neutral,0.127,0.3563705936241092
2023-04-23,718451,444482,1,605242,1-2,behind,0.166,0.4074309757492673
2023-04-25,718432,444482,1,670912,1-0,neutral,0,0
2023-04-25,718432,444482,1,621249,0-1,behind,0.314,0.5603570290448759
2023-04-25,718432,444482,1,670059,0-1,behind,0.115,0.3391164991562634
2023-04-26,718413,444482,1,672710,1-2,behind,0.269,0.5186520991955976
2023-04-26,718413,444482,1,672710,0-0,neutral,0.907,0.9523654760647301
2023-04-26,718413,444482,1,596112,0-1,behind,0.017,0.130384048104053
2023-04-27,718403,444482,1,656605,1-1,neutral,0.066,0.2569046515733026
2023-04-27,718403,444482,1,656605,1-1,neutral,0.314,0.5603570290448759
2023-04-27,718403,444482,1,656605,0-1,behind,0.36,0.6
2023-04-27,718403,444482,1,670280,0-0,neutral,0.07,0.2645751311064591
2023-04-28,718382,444482,1,656427,0-1,behind,0.215,0.4636809247747852
2023-04-30,718359,444482,1,663765,3-2,neutral,0.188,0.433589667773576
2023-04-30,718359,444482,1,663765,0-0,neutral,0.075,0.27386127875258304
2023-04-30,718359,444482,1,606149,2-2,behind,0.003,0.05477225575051661
