batter,BIP,player_name
408234,263,"Cabrera, Miguel"
425794,1,"Wainwright, Adam"
443558,98,"Cruz, Nelson"
444482,328,"Peralta, David"
444489,9,"Piña, Manny"
446334,141,"Longoria, Evan"
453568,308,"Blackmon, Charlie"
455117,235,"Maldonado, Martín"
456781,295,"Solano, Donovan"
457705,294,"McCutchen, Andrew"
457759,454,"Turner, Justin"
458015,146,"Votto, Joey"
462101,306,"Andrus, Elvis"
467793,450,"Santana, Carlos"
474832,200,"Belt, Brandon"
488726,53,"Brantley, Michael"
493329,258,"Gurriel, Yuli"
500743,344,"Rojas, Miguel"
500871,213,"Escobar, Eduardo"
501303,6,"Adrianza, Ehire"
501659,7,"Almonte, Abraham"
502054,326,"Pham, Tommy"
502110,292,"Martinez, J.D."
502671,435,"Goldschmidt, Paul"
506702,22,"León, Sandy"
514888,290,"Altuve, Jose"
516416,255,"Segura, Jean"
516782,248,"Marte, Starling"
518586,1,"Culberson, Charlie"
518595,201,"d'Arnaud, Travis"
518626,117,"Donaldson, Josh"
518692,521,"Freeman, Freddie"
518735,279,"Grandal, Yasmani"
518792,273,"Heyward, Jason"
518934,374,"LeMahieu, DJ"
519058,265,"Moustakas, Mike"
519203,277,"Rizzo, Anthony"
519317,248,"Stanton, Giancarlo"
521692,411,"Perez, Salvador"
527038,345,"Flores, Wilmer"
541645,69,"García, Avisaíl"
542194,228,"Bethancourt, Christian"
542208,132,"Pérez, Carlos"
542303,398,"Ozuna, Marcell"
542364,81,"Ortega, Rafael"
542583,74,"Aguilar, Jesús"
542932,315,"Berti, Jon"
543063,207,"Crawford, Brandon"
543068,195,"Cron, C.J."
543228,308,"Gomes, Yan"
543257,263,"Grossman, Robbie"
543281,85,"Harrison, Josh"
543305,201,"Hicks, Aaron"
543309,172,"Higashioka, Kyle"
543333,69,"Hosmer, Eric"
543482,5,"Maggi, Drew"
543510,155,"McCann, James"
543543,46,"Miller, Brad"
543592,103,"Nola, Austin"
543685,125,"Rendon, Anthony"
543760,565,"Semien, Marcus"
543807,491,"Springer, George"
543877,247,"Vázquez, Christian"
543939,174,"Wong, Kolten"
545121,246,"Vargas, Ildemaro"
545341,340,"Grichuk, Randal"
545350,57,"Marisnick, Jake"
545361,206,"Trout, Mike"
547180,342,"Harper, Bryce"
547379,9,"Pérez, Roberto"
547989,416,"Abreu, José"
553869,372,"Díaz, Elias"
553882,105,"Narváez, Omar"
553993,395,"Suárez, Eugenio"
570482,181,"Urshela, Gio"
570731,101,"Schoop, Jonathan"
571448,467,"Arenado, Nolan"
571466,68,"Barnhart, Tucker"
571657,252,"Farmer, Kyle"
571740,1,"Hamilton, Billy"
571745,147,"Haniger, Mitch"
571771,374,"Hernández, Enrique"
571875,36,"Lamb, Jake"
571912,131,"Maile, Luke"
571946,1,"Miller, Shelby"
571970,335,"Muncy, Max"
571976,81,"Myers, Wil"
571980,1,"Naquin, Tyler"
572008,13,"Owings, Chris"
572041,103,"Pollock, AJ"
572138,69,"Singleton, Jon"
572191,229,"Taylor, Michael A."
572204,76,"Thompson, Trayce"
572228,41,"Voit, Luke"
572233,463,"Walker, Christian"
572287,63,"Zunino, Mike"
572761,126,"Carpenter, Matt"
572816,117,"Dickerson, Corey"
573131,33,"Ruf, Darin"
573262,234,"Yastrzemski, Mike"
575929,320,"Contreras, Willson"
578570,14,"Querecuto, Juniel"
592178,232,"Bryant, Kris"
592192,362,"Canha, Mark"
592200,60,"Casali, Curt"
592206,447,"Castellanos, Nick"
592273,354,"Drury, Brandon"
592325,13,"Gamel, Ben"
592450,240,"Judge, Aaron"
592518,440,"Machado, Manny"
592626,272,"Pederson, Joc"
592656,53,"Ramos, Henry"
592663,356,"Realmuto, J.T."
592669,376,"Renfroe, Hunter"
592696,359,"Rosario, Eddie"
592885,411,"Yelich, Christian"
593160,452,"Merrifield, Whit"
593428,492,"Bogaerts, Xander"
593643,72,"Alberto, Hanser"
593871,217,"Polanco, Jorge"
594777,122,"Calhoun, Kole"
594807,215,"Duvall, Adam"
595281,289,"Kiermaier, Kevin"
595453,102,"Wallach, Chad"
595751,33,"Alfaro, Jorge"
595777,374,"Profar, Jurickson"
595879,388,"Báez, Javier"
595909,132,"Cave, Jake"
595956,98,"Gallagher, Cam"
595978,151,"Hedges, Austin"
596019,469,"Lindor, Francisco"
596059,101,"Odor, Rougned"
596103,127,"Slater, Austin"
596115,103,"Story, Trevor"
596117,85,"Stubbs, Garrett"
596129,194,"Vogelbach, Daniel"
596142,175,"Sánchez, Gary"
596146,336,"Kepler, Max"
596847,71,"Choi, Ji Man"
598265,77,"Bradley Jr., Jackie"
600301,45,"Motter, Taylor"
600303,16,"La Stella, Tommy"
600869,382,"Candelario, Jeimer"
602074,63,"Daza, Yonathan"
602104,260,"Urías, Ramón"
605113,146,"Ahmed, Nick"
605119,213,"Anderson, Brian"
