game_year,Game_Date,launch_angle,launch_speed,events
2021,2021-04-01,81,88.6,field_out
2021,2021-04-01,21,101.7,field_out
2021,2021-04-01,32,100.1,home_run
2021,2021-04-01,-4,79.7,force_out
2021,2021-04-01,-11,84.8,field_out
2021,2021-04-01,21,74.5,single
2021,2021-04-01,4,94.7,field_out
2021,2021-04-01,63,77.4,field_out
2021,2021-04-01,-7,106.6,field_out
2021,2021-04-01,25,91.1,field_out
2021,2021-04-01,-21,81.3,double
2021,2021-04-01,27,110.3,home_run
2021,2021-04-01,27,79.9,sac_fly
2021,2021-04-01,-5,79.9,field_out
2021,2021-04-01,19,90.5,single
2021,2021-04-01,-19,97.9,field_out
2021,2021-04-01,-34,66.2,fielders_choice
2021,2021-04-01,-7,88.4,force_out
2021,2021-04-01,5,106,single
2021,2021-04-01,-26,67.7,field_out
2021,2021-04-01,-27,79.6,field_out
2021,2021-04-01,22,106.7,field_out
2021,2021-04-01,5,88.3,field_out
2021,2021-04-01,9,101.3,double
2021,2021-04-01,31,90.2,field_out
2021,2021-04-01,70,88.9,field_out
2021,2021-04-01,-19,67.6,force_out
2021,2021-04-01,-3,72,field_out
2021,2021-04-01,26,111.5,home_run
2021,2021-04-01,30,96.1,field_out
2021,2021-04-01,-6,72.1,single
2021,2021-04-01,17,93.1,single
2021,2021-04-01,18,87.6,double
2021,2021-04-01,32,94.4,field_out
2021,2021-04-01,37,89,field_out
2021,2021-04-01,4,97.8,double
2021,2021-04-01,30,102.9,field_out
2021,2021-04-01,-4,105.9,field_out
2021,2021-04-01,18,95.4,single
2021,2021-04-01,47,82.9,field_out
2021,2021-04-01,8,99.4,single
2021,2021-04-01,-61,72.6,field_out
2021,2021-04-01,17,88.2,single
2021,2021-04-01,22,80,double
2021,2021-04-01,32,104.7,home_run
2021,2021-04-01,13,100.1,single
2021,2021-04-01,10,90.2,double
2021,2021-04-01,38,102.6,field_out
2021,2021-04-01,26,100.9,field_out
2021,2021-04-01,1,102.2,field_out
2021,2021-04-01,0,99.3,field_out
2021,2021-04-01,-28,90.7,grounded_into_double_play
2021,2021-04-01,14,109.4,field_out
2021,2021-04-01,-24,81.8,force_out
2021,2021-04-01,40,84.3,field_out
2021,2021-04-01,-15,99.6,field_out
2021,2021-04-01,0,75.7,field_out
2021,2021-04-01,-16,99.2,single
2021,2021-04-01,-19,94,field_out
2021,2021-04-01,10,103.1,single
2021,2021-04-01,-11,65.2,fielders_choice_out
2021,2021-04-01,24,98.4,field_out
2021,2021-04-01,-54,73.3,field_out
2021,2021-04-01,-4,87.4,field_out
2021,2021-04-01,-40,33.3,fielders_choice
2021,2021-04-01,32,105.8,home_run
2021,2021-04-01,34,99.4,home_run
2021,2021-04-01,-4,102.2,single
2021,2021-04-01,32,92,field_out
2021,2021-04-01,46,91.4,field_out
